Category,English,Turkish
Common expressions,Be careful.,Dikkat olmak.
Common expressions,Be careful driving.,Sürerken dikkatli ol.
Common expressions,Can you translate this for me?,Bunu benim için tercüme edebilir misin?
Common expressions,Chicago is very different from Boston.,Chicago Boston'dan çok farklı.
Common expressions,Don't worry.,Merak etme.
Common expressions,Everyone knows it.,Bunu herkes bilir.
Common expressions,Everything is ready.,Herşey hazır.
Common expressions,Excellent.,Harika.
Common expressions,From time to time.,Zamandan zamana.
Common expressions,Good idea.,İyi bir fikir.
Common expressions,He likes it very much.,Çok hoşuna gidiyor.
Common expressions,Help!,Yardım!
Common expressions,He's coming soon.,Yakında gelecek.
Common expressions,He's right.,O haklı.
Common expressions,He's very annoying.,Çok sinir bozucu biri.
Common expressions,He's very famous.,O çok ünlü.
Common expressions,How are you?,Nasılsın?
Common expressions,How's work going?,Iş nasıl gidiyor?
Common expressions,Hurry!,Acele etmek!
Common expressions,I ate already.,Çoktan yedim.
Common expressions,I can't hear you.,Seni duyamıyorum.
Common expressions,I'd like to go for a walk.,Yürüyüşe çıkmak isterim.
Common expressions,I don't know how to use it.,Nasıl kullanılacağını bilmiyorum.
Common expressions,I don't like him.,Ondan hoşlanmıyorum.
Common expressions,I don't like it.,Bundan hoşlanmıyorum.
Common expressions,I don't speak very well.,Pek iyi konuşamıyorum.
Common expressions,I don't understand.,Anlamıyorum.
Common expressions,I don't want it.,Bunu istemiyorum.
Common expressions,I don't want that.,Bunu istemiyorum.
Common expressions,I don't want to bother you.,Seni rahatsız etmek istemiyorum.
Common expressions,I feel good.,İyi hissediyorum.
Common expressions,"If you need my help, please let me know.",Yardımıma ihtiyacınız olursa lütfen bana bildirin.
Common expressions,I get off of work at 6.,İşten 6'da çıkıyorum.
Common expressions,I have a headache.,Başım ağrıyor.
Common expressions,I hope you and your wife have a nice trip.,Umarım siz ve eşiniz güzel bir yolculuk geçirirsiniz.
Common expressions,I know.,Biliyorum.
Common expressions,I like her.,Onu sevdim.
Common expressions,I'll call you when I leave.,Ayrıldığımda seni arayacağım.
Common expressions,I'll come back later.,Ben daha sonra gelirim.
Common expressions,I'll pay.,Ben ödeyeceğim.
Common expressions,I'll take it.,Onu alacağım.
Common expressions,I'll take you to the bus stop.,Seni otobüs durağına götüreceğim.
Common expressions,I lost my watch.,Saatimi kaybettim.
Common expressions,I love you.,Seni seviyorum.
Common expressions,I'm an American.,Ben bir Amerikalıyım.
Common expressions,I'm cleaning my room.,Odamı temizliyorum.
Common expressions,I'm cold.,Üşüyorum.
Common expressions,I'm coming to pick you up.,Seni almaya geliyorum.
Common expressions,I'm going to leave.,Ben gideceğim.
Common expressions,"I'm good, and you?",Ben iyiyim ya sen?
Common expressions,I'm happy.,Mutluyum.
Common expressions,I'm hungry.,Açım.
Common expressions,I'm married.,Ben evliyim.
Common expressions,I'm not busy.,Meşgul değilim.
Common expressions,I'm not married.,Evli değilim.
Common expressions,I'm not ready yet.,Henüz hazır değilim.
Common expressions,I'm not sure.,Emin değilim.
Common expressions,"I'm sorry, we're sold out.","Üzgünüm, tükendik."
Common expressions,I'm thirsty.,Susadım.
Common expressions,I'm very busy. I don't have time now.,Ben çok meşgulüm. Şimdi zamanım yok.
Common expressions,I need to change clothes.,Kıyafetleri değiştirmem gerekiyor.
Common expressions,I need to go home.,Eve gitmem lazım.
Common expressions,I only want a snack.,Sadece atıştırmalık istiyorum.
Common expressions,Is Mr. Smith an American?,Bay Smith Amerikalı mı?
Common expressions,Is that enough?,Bu yeterli mi?
Common expressions,I think it's very good.,Bence bu çok iyi.
Common expressions,I think it tastes good.,Bence tadı güzel.
Common expressions,I thought the clothes were cheaper.,Kıyafetlerin daha ucuz olduğunu sanıyordum.
Common expressions,It's longer than 2 miles.,2 milden uzun.
Common expressions,I've been here for two days.,İki gündür buradayım.
Common expressions,I've heard Texas is a beautiful place.,Teksas'ın güzel bir yer olduğunu duydum.
Common expressions,I've never seen that before.,Bunu daha önce hiç görmemiştim.
Common expressions,I was about to leave the restaurant when my friends arrived.,Arkadaşlarım geldiğinde restorandan ayrılmak üzereydim.
Common expressions,Just a little.,Birazcık.
Common expressions,Just a moment.,Bir dakika.
Common expressions,Let me check.,Kontrol edeyim.
Common expressions,Let me think about it.,Bunun hakkında düşünmeme izin ver.
Common expressions,Let's go have a look.,Hadi gidip bir bakalım.
Common expressions,Let's practice English.,İngilizce pratik yapalım.
Common expressions,May I speak to Mrs. Smith please?,Bayan Smith'le konuşabilir miyim lütfen?
Common expressions,More than that.,Daha Fazlası.
Common expressions,Never mind.,Boş ver.
Common expressions,Next time.,Bir dahaki sefer.
Common expressions,No.,HAYIR.
Common expressions,Nonsense.,Anlamsız.
Common expressions,"No, thank you.",Hayır teşekkürler.
Common expressions,Nothing else.,Başka hiçbir şey.
Common expressions,Not recently.,Yakın zamanda değil.
Common expressions,Not yet.,Henüz değil.
Common expressions,Of course.,Elbette.
Common expressions,Okay.,Tamam aşkım.
Common expressions,Please fill out this form.,Bu formu doldurun.
Common expressions,Please take me to this address.,Lütfen beni bu adrese götürün.
Common expressions,Please write it down.,Lütfen yazın.
Common expressions,Really?,Gerçekten mi?
Common expressions,Right here.,Tam burada.
Common expressions,Right there.,Tam orada.
Common expressions,See you later.,Sonra görüşürüz.
Common expressions,See you tomorrow.,Yarın görüşürüz.
Common expressions,See you tonight.,Bu akşam görüşürüz.
Common expressions,She's pretty.,O çok hoş.
Common expressions,Sorry to bother you.,Sizi rahatsız ettiğim için özür dilerim.
Common expressions,Stop!,Durmak!
Common expressions,Take a chance.,Şansını dene.
Common expressions,Take it outside.,Dışarıya çıkar.
Common expressions,Tell me.,Söyle bana.
Common expressions,Thanks for everything.,Her şey için teşekkürler.
Common expressions,Thanks for your help.,Yardımlarınız için teşekkürler.
Common expressions,Thank you.,Teşekkür ederim.
Common expressions,Thank you miss.,Teşekkürler bayan.
Common expressions,Thank you sir.,Teşekkürler bayım.
Common expressions,Thank you very much.,Çok teşekkür ederim.
Common expressions,That looks great.,Harika görünüyor.
Common expressions,That's alright.,Sorun değil.
Common expressions,That's enough.,Bu yeterli.
Common expressions,That's fine.,Bu iyi.
Common expressions,That's it.,Bu kadar.
Common expressions,That smells bad.,Bu kötü kokuyor.
Common expressions,That's not fair.,Adil değil.
Common expressions,That's not right.,Bu doğru değil.
Common expressions,That's right.,Bu doğru.
Common expressions,That's too bad.,Bu çok kötü.
Common expressions,That's too many.,Bu haddinden fazla.
Common expressions,That's too much.,Bu çok fazla.
Common expressions,The book is under the table.,Kitap masanın altında.
Common expressions,They'll be right back.,Hemen dönecekler.
Common expressions,They're the same.,Onlar aynı.
Common expressions,They're very busy.,Çok meşguller.
