Category,Phrase
Common expressions,Be careful.
Common expressions,Be careful driving.
Common expressions,Can you translate this for me?
Common expressions,Chicago is very different from Boston.
Common expressions,Don't worry.
Common expressions,Everyone knows it.
Common expressions,Everything is ready.
Common expressions,Excellent.
Common expressions,From time to time.
Common expressions,Good idea.
Common expressions,He likes it very much.
Common expressions,Help!
Common expressions,He's coming soon.
Common expressions,He's right.
Common expressions,He's very annoying.
Common expressions,He's very famous.
Common expressions,How are you?
Common expressions,How's work going?
Common expressions,Hurry!
Common expressions,I ate already.
Common expressions,I can't hear you.
Common expressions,I'd like to go for a walk.
Common expressions,I don't know how to use it.
Common expressions,I don't like him.
Common expressions,I don't like it.
Common expressions,I don't speak very well.
Common expressions,I don't understand.
Common expressions,I don't want it.
Common expressions,I don't want that.
Common expressions,I don't want to bother you.
Common expressions,I feel good.
Common expressions,"If you need my help, please let me know."
Common expressions,I get off of work at 6.
Common expressions,I have a headache.
Common expressions,I hope you and your wife have a nice trip.
Common expressions,I know.
Common expressions,I like her.
Common expressions,I'll call you when I leave.
Common expressions,I'll come back later.
Common expressions,I'll pay.
Common expressions,I'll take it.
Common expressions,I'll take you to the bus stop.
Common expressions,I lost my watch.
Common expressions,I love you.
Common expressions,I'm an American.
Common expressions,I'm cleaning my room.
Common expressions,I'm cold.
Common expressions,I'm coming to pick you up.
Common expressions,I'm going to leave.
Common expressions,"I'm good, and you?"
Common expressions,I'm happy.
Common expressions,I'm hungry.
Common expressions,I'm married.
Common expressions,I'm not busy.
Common expressions,I'm not married.
Common expressions,I'm not ready yet.
Common expressions,I'm not sure.
Common expressions,"I'm sorry, we're sold out."
Common expressions,I'm thirsty.
Common expressions,I'm very busy. I don't have time now.
Common expressions,I need to change clothes.
Common expressions,I need to go home.
Common expressions,I only want a snack.
Common expressions,Is Mr. Smith an American?
Common expressions,Is that enough?
Common expressions,I think it's very good.
Common expressions,I think it tastes good.
Common expressions,I thought the clothes were cheaper.
Common expressions,It's longer than 2 miles.
Common expressions,I've been here for two days.
Common expressions,I've heard Texas is a beautiful place.
Common expressions,I've never seen that before.
Common expressions,I was about to leave the restaurant when my friends arrived.
Common expressions,Just a little.
Common expressions,Just a moment.
Common expressions,Let me check.
Common expressions,Let me think about it.
Common expressions,Let's go have a look.
Common expressions,Let's practice English.
Common expressions,May I speak to Mrs. Smith please?
Common expressions,More than that.
Common expressions,Never mind.
Common expressions,Next time.
Common expressions,No.
Common expressions,Nonsense.
Common expressions,"No, thank you."
Common expressions,Nothing else.
Common expressions,Not recently.
Common expressions,Not yet.
Common expressions,Of course.
Common expressions,Okay.
Common expressions,Please fill out this form.
Common expressions,Please take me to this address.
Common expressions,Please write it down.
Common expressions,Really?
Common expressions,Right here.
Common expressions,Right there.
Common expressions,See you later.
Common expressions,See you tomorrow.
